"BagID","Transect","Remarks","Litter","Litter_other","Litter_depth_center","Litter_depth_north","Litter_depth_east","Litter_depth_south","Litter_depth_west"
1139,"ONAQ231",40,"H_W",NA,4,2,1,0,2
1142,"ONAQ231",35,"LT-W",NA,0,0,0,0,0
1143,"ONAQ231",30,"LT-W",NA,0,0,0,0,0
1170,"ONAQ231",25,"H_W_B",NA,0,0,0,1,2
1144,"ONAQ231",20,"H_W",NA,1,0,0,0,0
1169,"ONAQ231",15,"H_W",NA,0,0,0,1,1
1168,"ONAQ231",10,"LT-H",NA,2,1,2,0,0
1167,"ONAQ231",5,"H_W",NA,4,10,8,3,3
2117,"ONAQ236",50,"LT-H",NA,4,3,10,15,20
2118,"ONAQ236",45,"H_W_B",NA,10,10,15,10,20
2119,"ONAQ236",40,"H_W_B",NA,5,10,5,2,1
2120,"ONAQ236",35,"H_W",NA,0,0,0,4,1
2121,"ONAQ236",30,"H_W",NA,5,10,3,2,2
2122,"ONAQ236",25,"H_W_B",NA,1,5,3,1,2
2123,"ONAQ236",20,"H_W",NA,15,10,15,25,20
2124,"ONAQ236",15,"LT-H",NA,0,0,0,0,1
2125,"ONAQ236",10,"H_W_B",NA,1,0,1,0,2
2126,"ONAQ236",5,"H_W_B",NA,0,3,0,0,0
2135,"ONAQ238",50,"H_W_B",NA,20,10,5,3,15
2134,"ONAQ238",45,"LT-H",NA,5,3,7,5,5
2133,"ONAQ238",40,"H_W_B",NA,1,1,0,0,5
2110,"ONAQ238",35,"LT-H",NA,2,2,3,1,3
2111,"ONAQ238",30,"LT-H",NA,3,1,2,3,3
2112,"ONAQ238",25,"H_W_B",NA,5,3,3,1,3
2113,"ONAQ238",20,"H_W",NA,0,0,1,2,1
2132,"ONAQ238",15,"H_W",NA,15,10,5,2,3
2114,"ONAQ238",10,"H_W",NA,0,0,1,1,1
2115,"ONAQ238",5,"H_W_B",NA,2,1,0,0,2
1113,"ONAQ239",50,"H_W",NA,5,10,10,15,5
1114,"ONAQ239",45,"H_W_B",NA,2,1,4,0,1
1115,"ONAQ239",40,"H_W",NA,5,3,1,0,7
1112,"ONAQ239",35,"H_W",NA,1,1,1,2,3
1116,"ONAQ239",30,"H_W",NA,1,1,2,1,0
1117,"ONAQ239",25,"OTHER","H_W_B_DUNG",5,7,4,5,3
1119,"ONAQ239",15,"LT-H",NA,3,2,1,1,1
1120,"ONAQ239",10,"OTHER",NA,3,2,1,3,1
1121,"ONAQ239",5,"H_W",NA,10,5,7,5,7
1173,"ONAQ242",50,"H_W_B",NA,5,4,3,4,3
1174,"ONAQ242",45,"LT-H",NA,3,1,4,1,1
1155,"ONAQ242",40,"H_W_B",NA,4,10,3,1,1
1156,"ONAQ242",35,"OTHER","H_DUNG",0,2,3,0,2
1175,"ONAQ242",30,"H_W",NA,2,2,1,0,5
1176,"ONAQ242",25,"H_W_B",NA,2,1,4,2,0
1177,"ONAQ242",20,"H_W_B",NA,2,1,3,4,1
1178,"ONAQ242",15,"H_W_B",NA,1,5,1,3,5
1179,"ONAQ242",10,"OTHER","H_W_DUNG",3,3,2,5,7
1180,"ONAQ242",5,"H_W_B",NA,3,1,1,3,1
1162,"ONAQ250",50,"H_W_B",NA,0,1,1,1,1
1163,"ONAQ250",45,"H_W_B",NA,2,1,3,0,3
1161,"ONAQ250",40,"H_W_B",NA,1,0,1,1,1
1160,"ONAQ250",35,"H_W_B",NA,0,0,0,0,1
1172,"ONAQ250",30,"H_W_B",NA,1,1,1,0,0
1159,"ONAQ250",25,"H_W",NA,2,1,1,3,1
2116,"ONAQ250",20,"H_W_B",NA,1,1,2,0,1
1158,"ONAQ250",15,"H_W",NA,1,0,0,0,1
1157,"ONAQ250",10,"H_W_B",NA,1,0,1,2,0
1121,"ONAQ250",5,"LT-H",NA,2,0,1,1,1
