"","Transect","JUOS_n","NONE_n","ARTR_n","PGRASS_n","JUOS_min_height_cm","NONE_min_height_cm","ARTR_min_height_cm","PGRASS_min_height_cm","JUOS_max_height_cm","NONE_max_height_cm","ARTR_max_height_cm","PGRASS_max_height_cm","JUOS_mean_height_cm","NONE_mean_height_cm","ARTR_mean_height_cm","PGRASS_mean_height_cm","mean_elev_m"
"23","ONAQ048",NA,35,10,NA,NA,0,20,NA,NA,0,100,NA,NA,0,56,NA,1625.6
"24","ONAQ049",NA,23,7,1,NA,0,35,10,NA,0,100,10,NA,0,60,10,1611.1
"25","ONAQ203_2",NA,NA,NA,3,NA,NA,NA,30,NA,NA,NA,40,NA,NA,NA,33,1614.2
"26","ONAQ204_1",NA,NA,2,8,NA,NA,35,1,NA,NA,65,25,NA,NA,50,12,0
"27","ONAQ204_2",NA,NA,1,4,NA,NA,50,3,NA,NA,50,15,NA,NA,50,8,1708
"28","ONAQ209",NA,NA,1,1,NA,NA,105,15,NA,NA,105,15,NA,NA,105,15,1588.6
"29","ONAQ210_1",NA,NA,4,NA,NA,NA,35,NA,NA,NA,100,NA,NA,NA,74,NA,0
"30","ONAQ210_2",NA,NA,7,3,NA,NA,65,0,NA,NA,100,23,NA,NA,81,11,1608
"31","ONAQ213",NA,NA,3,15,NA,NA,50,5,NA,NA,90,35,NA,NA,70,22,1807.7
"32","ONAQ215",NA,NA,2,20,NA,NA,45,10,NA,NA,60,70,NA,NA,52,42,1708.5
"33","ONAQ226_1",5,NA,NA,NA,180,NA,NA,NA,350,NA,NA,NA,255,NA,NA,NA,0
"34","ONAQ226_2",12,NA,NA,NA,250,NA,NA,NA,350,NA,NA,NA,301,NA,NA,NA,1807
"35","ONAQ228_1",1,NA,3,5,60,NA,70,0,60,NA,80,80,60,NA,75,40,0
"36","ONAQ228_2",NA,NA,5,7,NA,NA,30,50,NA,NA,80,70,NA,NA,49,59,1699.5
"37","ONAQ229_1",NA,NA,13,NA,NA,NA,30,NA,NA,NA,100,NA,NA,NA,80,NA,0
"38","ONAQ229_2",NA,NA,7,NA,NA,NA,33,NA,NA,NA,85,NA,NA,NA,72,NA,1675.8
"39","ONAQ230",NA,NA,8,NA,NA,NA,40,NA,NA,NA,110,NA,NA,NA,62,NA,1647.6
"40","ONAQ231",NA,NA,6,1,NA,NA,35,20,NA,NA,85,20,NA,NA,62,20,1585.9
"41","ONAQ232_1",NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,15,NA,NA,NA,10,0
"42","ONAQ232_2",NA,NA,NA,5,NA,NA,NA,10,NA,NA,NA,20,NA,NA,NA,16,1783.3
"43","ONAQ236",1,NA,9,11,95,NA,45,5,95,NA,90,50,95,NA,62,22,1770.3
"44","ONAQ238",NA,NA,10,3,NA,NA,50,10,NA,NA,120,45,NA,NA,86,25,1690.4
"45","ONAQ239",NA,NA,9,1,NA,NA,40,15,NA,NA,120,15,NA,NA,83,15,1617
"46","ONAQ242",NA,NA,12,6,NA,NA,45,1,NA,NA,90,60,NA,NA,68,20,1690.7
"47","ONAQ243_1",NA,NA,NA,6,NA,NA,NA,25,NA,NA,NA,65,NA,NA,NA,41,0
"48","ONAQ243_2",NA,NA,2,3,NA,NA,30,75,NA,NA,40,75,NA,NA,35,75,1667.3
"49","ONAQ246_1",NA,NA,4,NA,NA,NA,50,NA,NA,NA,90,NA,NA,NA,68,NA,0
"50","ONAQ246_2",NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,10,1584.9
"51","ONAQ247_1",NA,NA,NA,10,NA,NA,NA,5,NA,NA,NA,60,NA,NA,NA,36,0
"52","ONAQ247_2",NA,NA,NA,5,NA,NA,NA,30,NA,NA,NA,65,NA,NA,NA,45,1733
"53","ONAQ250",NA,NA,NA,23,NA,NA,NA,15,NA,NA,NA,60,NA,NA,NA,35,1756.1
