"BagID","Transect","Remarks","Litter","Litter_other","Litter_depth_center","Litter_depth_north","Litter_depth_east","Litter_depth_south","Litter_depth_west","Nearby_canopy_1","Nearby_canopy_2","Nearby_canopy_3","Nearby_canopy_4","Nearby_canopy_5"
1018,"SRER030","10","H_W",NA,1,"1",1,1,1,"L-PRVE_80W_150H_200L_150P","L-ISTE_patch",NA,NA,NA
1019,"SRER030","5","H_W",NA,1,"1",0,0,0,"L-ISTE_patch",NA,NA,NA,NA
1030,"SRER039","50","LT-H",NA,10,"10",10,15,10,"ERLE_patch","L-OP_60W_30H_50L_30P",NA,NA,NA
1031,"SRER039","45","H_W",NA,0,"1",1,0,1,"L-ERLE_D-SUBS_patch",NA,NA,NA,NA
1032,"SRER039","40","LT-H",NA,10,"20",15,1,20,"L-SEGR_60S_100H_110H_100P","L-ERLE_patch",NA,NA,NA
1033,"SRER039","35","H_W",NA,2,"4",8,0,1,"L-CEPA_60SW_180H_150L_125P","L-PRVE_65SW_190H_300L_200P",NA,NA,NA
1035,"SRER039","25","H_C",NA,30,"35",25,20,15,"L-ERLE_patch",NA,NA,NA,NA
1034,"SRER039","30","H_W",NA,4,"6",4,3,4,"L-PRVE_50NE_185H_250L_225P",NA,NA,NA,NA
1036,"SRER039","20","H_W_C",NA,5,"3",10,10,2,"L-ERLE_D-SUBS_patch",NA,NA,NA,NA
1037,"SRER039","15","OTHER","H_W_DUNG",4,"5",15,10,15,"L-ERLE_D-SUBS_patch",NA,NA,NA,NA
1050,"SRER039","10","OTHER","H_W_B_DUNG",3,"1",5,10,3,"L-ERLE_patch",NA,NA,NA,NA
1051,"SRER039","5","H_C",NA,1,"5",0,0,5,"L-PRVE_100SW_225H_375L_375P","L-OP_95SW_25H_35L_15P","L-ERLE_D-SUBS_patch",NA,NA
1049,"SRER041","50","LT-H",NA,4,"5",10,5,4,"ERLE_patch",NA,NA,NA,NA
1048,"SRER041","49","LT-H",NA,8,"5",10,5,3,"ERLE_patch",NA,NA,NA,NA
1047,"SRER041","48","LT-H",NA,3,"3",4,3,5,"ERLE_patch",NA,NA,NA,NA
1046,"SRER041","47","LT-H",NA,3,"5",4,3,3,"ERLE_DSUBS_patch",NA,NA,NA,NA
1045,"SRER041","46","H_W",NA,5,"8",10,15,5,"ERLE_DSUBS_patch",NA,NA,NA,NA
1044,"SRER041","37","LT-H",NA,0,"3",0,0,0,"ERLE_DSUBS_patch",NA,NA,NA,NA
1043,"SRER041","34","H_C",NA,20,"20",10,15,20,"ERLE_DSUBS_patch",NA,NA,NA,NA
1042,"SRER041","5","LT-H",NA,3,"4",2,4,1,"ERLE_patch",NA,NA,NA,NA
1041,"SRER041","4","LT-H",NA,10,"3",15,5,3,"ERLE_patch",NA,NA,NA,NA
1040,"SRER041","3","H_W",NA,5,"5",5,10,10,"ERLE_DSUBS_patch",NA,NA,NA,NA
1039,"SRER041","2","LT-H",NA,10,"5",15,5,10,"ERLE_patch",NA,NA,NA,NA
1038,"SRER041","1","H_W",NA,10,"5",12,5,15,"ERLE_DSUBS_patch",NA,NA,NA,NA
1020,"SRER050","50","LT-H",NA,1,"1",1,3,2,"L-ISTE_50SW",NA,NA,NA,NA
1021,"SRER050","45","H_W_C",NA,2,"3",3,3,5,"L-OP_40E_75H_100L_50P","L-PGRASS_50W",NA,NA,NA
1022,"SRER050","40","H_C",NA,5,"15",5,2,5,"L-PRVE_20S_200H_350L_250P","L-ISTE_5NW","L-OP_15NW_70H_100L_100P",NA,NA
1023,"SRER050","35","LT-H",NA,0,"0",0,0,0,NA,NA,NA,NA,NA
1024,"SRER050","30","H_B",NA,0,"0",1,4,1,"L-PRVE_20S_350H_400L_250P","L-CY_45NW",NA,NA,NA
1025,"SRER050","25","LT-H",NA,0,"5",0,0,1,"L-PRVE_100N_350H_400L_250P",NA,NA,NA,NA
1026,"SRER050","20","H_W_B_C",NA,1,"1",1,0,0,NA,NA,NA,NA,NA
1027,"SRER050","15","LT-H",NA,1,"0",1,0,2,"L-PGRASS_20E",NA,NA,NA,NA
1028,"SRER050","10","LT-H",NA,1,"0",0,0,0,"L-ISTE_70NW","L-ISTE_90E",NA,NA,NA
1029,"SRER050","5","LT-H",NA,0,"1",0,0,0,"L-ISTE_90NE",NA,NA,NA,NA
